﻿表面,父馬名,騎手,件数,複勝率,父馬他騎手複勝率,騎手他父馬複勝率,父馬比差pt,騎手比差pt,父馬比z,騎手比z,判定
芝,ハーツクライ,古川吉洋,61,36.0655737704918,24.880174291938996,16.515837104072396,11.185399478552807,19.549736666419406,2.0035190003342485,3.9401702886227925,◎
芝,ハービンジャー,富田暁,49,4.081632653061225,23.08986064392119,16.974900924702773,-19.008227990859968,-12.893268271641551,-3.1496491373391393,-2.388992619421281,×
芝,ブラックタイド,菱田裕二,33,33.33333333333333,19.497863247863247,18.84139482564679,13.835470085470083,14.49193850768654,1.979491479202952,2.0982232460606376,◎
芝,ブリックスアンドモルタル,坂井瑠星,35,48.57142857142857,24.556213017751478,32.447048219918884,24.01521555367709,16.124380351509686,3.2324788900897383,2.0176513801606215,◎
芝,マツリダゴッホ,黛弘人,58,25.862068965517242,15.004840271055178,11.070448307410796,10.857228694462066,14.791620658106448,2.2184070812725403,3.400752490307956,◎
芝,ミッキーアイル,横山武史,37,56.75675675675676,24.287484510532835,37.537425149700596,32.469272246223916,19.219331607056155,4.508824905032879,2.39448400656825,◎
芝,ミッキーアイル,武豊,32,53.125,24.459542927733168,36.145146088595666,28.665457072266832,16.979853911404337,3.7076221923882082,1.9814638932374298,◎
芝,ミッキーアイル,浜中俊,34,52.94117647058824,24.42795299938157,28.90995260663507,28.51322347120666,24.031223863953166,3.7990846877758164,3.0393395374469008,◎
芝,モーリス,横山武史,98,48.97959183673469,25.964912280701753,37.380314055917275,23.01467955603294,11.599277780817419,5.099120279804048,2.324887778229078,◎
芝,モーリス,武藤雅,32,0.0,26.7258382642998,12.859712230215829,-26.7258382642998,-12.859712230215829,-3.4115059769210503,-2.168635624710764,×
芝,リアルスティール,坂井瑠星,31,51.61290322580645,27.297297297297295,32.43364822312191,24.315605928509154,19.179255002684542,2.990831958553256,2.2606468995486915,◎
芝,リオンディーズ,西村淳也,31,54.83870967741935,23.585726718885986,30.244755244755243,31.25298295853336,24.593954432664106,4.047059052011808,2.952239181037475,◎
芝,ルーラーシップ,和田竜二,78,35.8974358974359,23.410404624277454,22.888675623800385,12.487031273158442,13.008760273635515,2.5740844862591468,2.665955959385152,◎
芝,ルーラーシップ,田辺裕信,88,44.31818181818182,23.2174688057041,29.504232164449817,21.10071301247772,14.813949653732001,4.61499741211805,2.947885302300095,◎
芝,レイデオロ,ルメール,50,74.0,24.696048632218844,57.1992110453649,49.30395136778115,16.800788954635102,7.753519458657207,2.380001768706379,◎
芝,レイデオロ,武豊,30,56.666666666666664,25.823353293413177,36.11111111111111,30.84331337325349,20.555555555555554,3.785550907009128,2.3236549442666607,◎
芝,ロードカナロア,佐々木大,52,48.07692307692308,27.448411398624305,25.318877551020407,20.62851167829877,22.75804552590267,3.3127932723384155,3.6785997383363926,◎
芝,ロードカナロア,和田竜二,113,13.274336283185843,27.890818858560795,23.914104441190826,-14.616482575374953,-10.639768158004983,-3.4429174983170356,-2.6023353860052696,×
芝,ロードカナロア,横山和生,162,38.2716049382716,27.334889926617745,27.299016772700984,10.936715011653858,10.972588165570619,3.0720026304624874,2.9665337600673474,◎
芝,ロードカナロア,西村淳也,142,39.436619718309856,27.34375,29.99540652273771,12.092869718309856,9.441213195572146,3.1854722673321736,2.3660041940369267,◎
