﻿レベル,場所,表面,条件値,騎手,件数,複勝率,人気補正期待複勝率,差pt,z,判定
距離,札幌,ダート,1700,横山和生,136,41.911764705882355,34.28810580836108,7.623658897521274,2.0036940868311413,◎
距離,札幌,ダート,1700,丹内祐次,235,33.61702127659574,26.54953031815487,7.067490958440875,2.656639227518392,◎
距離,札幌,ダート,1700,吉田隼人,121,20.66115702479339,30.59765957528523,-9.936502550491841,-2.4828668522475237,×
距離,函館,ダート,1700,吉田隼人,103,36.89320388349515,27.7874317906237,9.105772092871444,2.244644603095182,◎
距離,函館,芝,1800,丹内祐次,120,39.166666666666664,29.040140706169637,10.126525960497029,2.6442515381657583,◎
距離,函館,芝,1200,古川吉洋,114,9.649122807017543,17.489931787067032,-7.8408089800494905,-2.386625870626709,×
距離,函館,芝,1200,黛弘人,109,19.26605504587156,13.173510994611911,6.092544051259649,1.995612203159224,◎
距離,福島,芝,1200,杉原誠人,123,24.390243902439025,16.249398700678984,8.140845201760039,2.6533480977049577,◎
距離,福島,ダート,1700,丹内祐次,133,25.563909774436087,33.605828829734655,-8.04191905529857,-2.1598266397010644,×
距離,新潟,ダート,1800,丹内祐次,176,35.22727272727273,28.8152278049819,6.412044922290827,2.0411827270831937,◎
距離,東京,ダート,1400,ルメール,214,46.26168224299065,52.72874655384668,-6.4670643108560295,-2.0138548799312668,×
距離,東京,芝,1600,野中悠太,122,10.655737704918032,5.350191042490886,5.305546662427147,2.9597883222992762,◎
距離,東京,芝,1600,ルメール,303,63.6963696369637,47.39540524796017,16.300964389003532,5.877430747880717,◎
距離,東京,芝,2000,ルメール,168,69.64285714285714,55.070177640271766,14.572679502585373,3.880430772005111,◎
距離,東京,芝,1600,田辺裕信,198,34.34343434343434,22.62575613884032,11.717678204594023,4.3632734620131375,◎
距離,東京,芝,1800,戸崎圭太,214,44.85981308411215,38.0696355995204,6.790177484591747,2.195882300470957,◎
距離,中山,ダート,1800,三浦皇成,356,34.26966292134831,39.3585933115654,-5.088930390217083,-2.1383481661065566,×
距離,中山,ダート,1800,津村明秀,349,22.063037249283667,27.370997799216358,-5.307960549932689,-2.5032086495318233,×
距離,中山,ダート,1800,丹内祐次,413,18.159806295399516,26.012913965555594,-7.853107670156079,-4.089434389396272,×
距離,中山,芝,1200,津村明秀,107,12.149532710280374,19.935806664778628,-7.786273954498253,-2.1042665432855676,×
距離,中山,ダート,1200,丹内祐次,312,21.153846153846153,13.838321177030855,7.315524976815299,4.236472805456171,◎
距離,中山,芝,1600,丹内祐次,177,9.6045197740113,15.234261501210652,-5.629741727199352,-2.283491545550399,×
距離,中山,芝,1600,田辺裕信,193,24.870466321243523,34.5682823644612,-9.697816043217678,-3.105672891277022,×
距離,中山,芝,1600,松岡正海,106,25.471698113207548,17.108704974271014,8.362993138936533,2.7433617443775518,◎
距離,中山,芝,1600,丸田恭介,103,14.563106796116504,6.2644475265834485,8.298659269533056,3.9176485768010503,◎
距離,中山,芝,1600,吉田豊,145,13.10344827586207,19.80358773637558,-6.70013946051351,-2.3712737463191202,×
距離,中山,芝,1600,ルメール,163,46.62576687116564,59.845886383800384,-13.220119512634742,-3.566998558974672,×
距離,中山,芝,1600,三浦皇成,190,31.57894736842105,25.62724483771028,5.951702530710773,2.046080488123728,◎
距離,中山,芝,1200,戸崎圭太,116,32.758620689655174,43.573667711598745,-10.815047021943574,-2.6458106577597476,×
距離,中京,ダート,1400,岩田望来,161,34.78260869565217,25.372972999103677,9.409635696548497,3.029603855686964,◎
距離,中京,芝,1600,岩田望来,116,48.275862068965516,37.48391174875074,10.791950320214777,2.5659998665724384,◎
距離,中京,芝,2000,幸英明,153,27.450980392156865,18.294527437039882,9.156452955116984,3.151618346762852,◎
距離,京都,ダート,1800,幸英明,283,30.03533568904594,24.989653173568396,5.045682515477543,2.1795747741741844,◎
距離,京都,ダート,1200,坂井瑠星,104,25.961538461538463,36.22823255176196,-10.266694090223499,-2.4145970787294577,×
距離,阪神,ダート,1200,和田竜二,200,25.0,19.69364075345199,5.306359246548009,2.0363226688785048,◎
距離,阪神,芝,2000,幸英明,139,11.510791366906476,20.492808469620655,-8.98201710271418,-2.7941053336872597,×
距離,阪神,芝,1600,北村友一,109,29.357798165137616,21.04290339989207,8.314894765245548,2.2883828369240926,◎
距離,阪神,ダート,1400,北村友一,110,33.63636363636363,25.810593305463346,7.825770330900289,2.0660425501323774,◎
距離,阪神,ダート,1800,高倉稜,110,19.090909090909093,12.960258334730701,6.13065075617839,2.1100974392855036,◎
距離,阪神,ダート,1400,岩田望来,267,25.468164794007492,30.61324156783092,-5.145076773823426,-2.1100433133267207,×
距離,阪神,ダート,1800,岩田望来,384,40.625,34.756627225939624,5.868372774060377,2.631884421648673,◎
距離,阪神,芝,1600,鮫島克駿,132,25.0,17.06528517736742,7.934714822632577,2.7432151103501727,◎
距離,阪神,芝,1600,酒井学,110,16.363636363636363,7.851006435912096,8.512629927724268,3.691867183821879,◎
距離,小倉,ダート,1700,丹内祐次,189,21.164021164021165,27.784006124026806,-6.619984960005643,-2.2513319110500993,×
距離,小倉,ダート,1700,斎藤新,163,17.791411042944784,24.758155047471632,-6.9667440045268485,-2.236948730462781,×
距離,小倉,芝,1200,泉谷楓真,124,20.161290322580644,13.648093529136759,6.513196793443885,2.34834981684214,◎
距離,小倉,芝,1200,国分恭介,105,13.333333333333334,20.346665745601918,-7.013332412268583,-2.1427471718094386,×
距離,小倉,芝,1800,松山弘平,101,37.62376237623762,47.432273176628726,-9.808510800391101,-2.187972956602236,×
距離,小倉,ダート,1700,富田暁,171,21.052631578947366,16.047486348238227,5.00514523070914,1.9919898350683587,◎
距離,新潟,ダート,1800,永島まな,118,21.1864406779661,12.803410285555955,8.383030392410145,3.0142037662725865,◎
距離,中京,ダート,1800,永島まな,152,13.157894736842104,18.23096672262269,-5.073071985780587,-1.9795439025539294,×
距離,小倉,ダート,1700,角田大和,146,22.602739726027394,17.28408335082774,5.318656375199657,1.999082068445752,◎
距離,中山,ダート,1200,佐々木大,185,18.37837837837838,28.95035145035145,-10.571973071973073,-3.826120425407709,×
