年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260801,札幌,1,11,未勝利,ダ,1000,ジャーナーリア,牡,池添謙一,本田優,栗,サートゥルナーリア,1,札幌ダ1000,2,R8.8.1,ジャーナーリア46234,ジャーナーリア46232,ジャーナーリア46233,ジャーナーリア46228,ジャーナーリア46229,ジャーナーリア46221,ジャーナーリア46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,124,先,8,2.02608E+17,23100596
20260801,札幌,1,12,未勝利,ダ,1000,ペルヴォルム,牝,遠藤汰月,加藤和宏,美,ダノンキングリー,1,札幌ダ1000,1,R8.8.1,ペルヴォルム46234,ペルヴォルム46232,ペルヴォルム46233,ペルヴォルム46228,ペルヴォルム46229,ペルヴォルム46221,ペルヴォルム46222,66.9,16.4,16.4,59.3,13.7,14.1,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,84,追,8,2.02608E+17,23102960
20260801,札幌,2,1,未勝利*,芝,1800,ヒアカムズザサン,牡,佐々木大,中竹和也,栗,エピファネイア,2,札幌芝1800,2,R8.8.1,ヒアカムズザサン46234,ヒアカムズザサン46232,ヒアカムズザサン46233,ヒアカムズザサン46228,ヒアカムズザサン46229,ヒアカムズザサン46221,ヒアカムズザサン46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,97,　,1,2.02608E+17,24106020
20260801,札幌,2,2,未勝利*,芝,1800,マイネルリコルディ,牡,斎藤新,青木孝文,美,ゴールドシップ,2,札幌芝1800,1,R8.8.1,マイネルリコルディ46234,マイネルリコルディ46232,マイネルリコルディ46233,マイネルリコルディ46228,マイネルリコルディ46229,マイネルリコルディ46221,マイネルリコルディ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,106,先,2,2.02608E+17,24103650
20260801,札幌,2,3,未勝利*,芝,1800,ステラルミノーザ,牡,長浜鴻緒,千葉直人,美,フィエールマン,2,札幌芝1800,1,R8.8.1,ステラルミノーザ46234,ステラルミノーザ46232,ステラルミノーザ46233,ステラルミノーザ46228,ステラルミノーザ46229,ステラルミノーザ46221,ステラルミノーザ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,93,　,3,2.02608E+17,24101916
20260801,札幌,2,4,未勝利*,芝,1800,ニーナラルゴ,牝,原田和真,上原博之,美,Corniche,2,札幌芝1800,1,R8.8.1,ニーナラルゴ46234,ニーナラルゴ46232,ニーナラルゴ46233,ニーナラルゴ46228,ニーナラルゴ46229,ニーナラルゴ46221,ニーナラルゴ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,102,先,4,2.02608E+17,24106829
20260801,札幌,2,5,未勝利*,芝,1800,ロードレスポンス,牡,横山和生,和田勇介,美,ロジャーバローズ,2,札幌芝1800,1,R8.8.1,ロードレスポンス46234,ロードレスポンス46232,ロードレスポンス46233,ロードレスポンス46228,ロードレスポンス46229,ロードレスポンス46221,ロードレスポンス46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,100,追,5,2.02608E+17,24102603
20260801,札幌,2,6,未勝利*,芝,1800,ジオ,牡,丹内祐次,宮田敬介,美,シスキン,2,札幌芝1800,1,R8.8.1,ジオ46234,ジオ46232,ジオ46233,ジオ46228,ジオ46229,ジオ46221,ジオ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,99,追,6,2.02608E+17,24107038
20260801,札幌,2,7,未勝利*,芝,1800,ブライトシーン,牡,遠藤汰月,松尾卓哉,美,ウインブライト,2,札幌芝1800,1,R8.8.1,ブライトシーン46234,ブライトシーン46232,ブライトシーン46233,ブライトシーン46228,ブライトシーン46229,ブライトシーン46221,ブライトシーン46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,86,差,7,2.02608E+17,24104133
20260801,札幌,2,8,未勝利*,芝,1800,ブルーリボン,牝,小林美駒,尾形和幸,美,ジャンダルム,2,札幌芝1800,1,R8.8.1,ブルーリボン46234,ブルーリボン46232,ブルーリボン46233,ブルーリボン46228,ブルーリボン46229,ブルーリボン46221,ブルーリボン46222,69.7,17,17.1,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,差,8,2.02608E+17,24101798
20260801,札幌,2,9,未勝利*,芝,1800,ブラッグス,牡,北村友一,平田修,栗,ブリックスアンドモルタル,2,札幌芝1800,2,R8.8.1,ブラッグス46234,ブラッグス46232,ブラッグス46233,ブラッグス46228,ブラッグス46229,ブラッグス46221,ブラッグス46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,109,先,8,2.02608E+17,24106228
20260801,札幌,3,1,未勝利,ダ,1700,ブルーアンビエンス,牡,黛弘人,菊沢隆徳,美,レイデオロ,1,札幌ダ1700,1,R8.8.1,ブルーアンビエンス46234,ブルーアンビエンス46232,ブルーアンビエンス46233,ブルーアンビエンス46228,ブルーアンビエンス46229,ブルーアンビエンス46221,ブルーアンビエンス46222,65.1,16.2,16.2,65.9,15.5,15.6,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,101,追,1,2.02608E+17,23103830
