年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 木 1F,ウ 木 4F,ウ 木 5F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,本命候補判定,相手候補判定,ZI,脚質,枠
20260712,函館,1,11,未勝利,ダ,1000,ホウオウワイズ,牝,佐々木大,吉岡辰弥,栗,Bolt d'Oro,1,函館ダ1000,2,R8.7.12,ホウオウワイズ46214,ホウオウワイズ46211,ホウオウワイズ46212,ホウオウワイズ46207,ホウオウワイズ46208,ホウオウワイズ46200,ホウオウワイズ46201,56.6,13.3,14.3,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,101,　,8
20260712,函館,1,12,未勝利,ダ,1000,サンライズロイ,牡,舟山瑠泉,牧浦充徳,栗,フォーウィールドライブ,1,函館ダ1000,2,R8.7.12,サンライズロイ46214,サンライズロイ46211,サンライズロイ46212,サンライズロイ46207,サンライズロイ46208,サンライズロイ46200,サンライズロイ46201,なし,なし,なし,65.8,16,16,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,109,追,8
20260712,函館,2,1,未勝利・牝,芝,2000,フィエスタ,牝,斎藤新,西村真幸,栗,キタサンブラック,2,函館芝2000,2,R8.7.12,フィエスタ46214,フィエスタ46211,フィエスタ46212,フィエスタ46207,フィエスタ46208,フィエスタ46200,フィエスタ46201,67,15.6,16.1,58.3,14.2,13.9,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,100,差,1
20260712,函館,2,2,未勝利・牝,芝,2000,ボーントゥラブユー,牝,鮫島克駿,小笠倫弘,美,コントレイル,2,函館芝2000,1,R8.7.12,ボーントゥラブユー46214,ボーントゥラブユー46211,ボーントゥラブユー46212,ボーントゥラブユー46207,ボーントゥラブユー46208,ボーントゥラブユー46200,ボーントゥラブユー46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,109,追,2
20260712,函館,2,3,未勝利・牝,芝,2000,ダンツアラーム,牝,遠藤汰月,本田優,栗,リアルスティール,2,函館芝2000,2,R8.7.12,ダンツアラーム46214,ダンツアラーム46211,ダンツアラーム46212,ダンツアラーム46207,ダンツアラーム46208,ダンツアラーム46200,ダンツアラーム46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,97,追,3
20260712,函館,2,4,未勝利・牝,芝,2000,スリールーディカ,牝,丹内祐次,橋田宜長,栗,Saxon Warrior,2,函館芝2000,2,R8.7.12,スリールーディカ46214,スリールーディカ46211,スリールーディカ46212,スリールーディカ46207,スリールーディカ46208,スリールーディカ46200,スリールーディカ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,88,追,4
20260712,函館,2,5,未勝利・牝,芝,2000,ビアーレ,牝,横山琉人,林徹,美,ミスチヴィアスアレックス,2,函館芝2000,1,R8.7.12,ビアーレ46214,ビアーレ46211,ビアーレ46212,ビアーレ46207,ビアーレ46208,ビアーレ46200,ビアーレ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,先,4
20260712,函館,2,6,未勝利・牝,芝,2000,プリュイドール,牝,古川奈穂,矢作芳人,栗,オルフェーヴル,2,函館芝2000,2,R8.7.12,プリュイドール46214,プリュイドール46211,プリュイドール46212,プリュイドール46207,プリュイドール46208,プリュイドール46200,プリュイドール46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,追,5
20260712,函館,2,7,未勝利・牝,芝,2000,ベネディクション,牝,横山武史,矢作芳人,栗,エピファネイア,2,函館芝2000,2,R8.7.12,ベネディクション46214,ベネディクション46211,ベネディクション46212,ベネディクション46207,ベネディクション46208,ベネディクション46200,ベネディクション46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,117,追,5
20260712,函館,2,8,未勝利・牝,芝,2000,アルケミラモリス,牝,大久保友,粕谷昌央,美,ロジャーバローズ,2,函館芝2000,1,R8.7.12,アルケミラモリス46214,アルケミラモリス46211,アルケミラモリス46212,アルケミラモリス46207,アルケミラモリス46208,アルケミラモリス46200,アルケミラモリス46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,107,差,6
